state,state_abbr,generation_mwh,coal_per,gas_per,wind_per,solar_per,cents_kwh
Iowa,IA,69.836973,23.50,14.66,59.34,0.75,9.42
Illinois,IL,177.737641,15.28,16.00,12.27,1.08,11.75
Indiana,IN,90.046880,45.46,38.70,9.82,2.06,11.49
Kansas,KS,58.456598,27.87,7.47,46.65,0.14,10.8
Michigan,MI,120.656625,19.52,44.81,6.87,1.05,13.68
Minnesota,MN,57.276862,22.34,24.13,25.14,3.66,12.21
Missouri,MO,66.703285,60.49,13.88,10.16,0.26,10.87
North Dakota,ND,42.068807,53.54,6.74,34.41,0.00,8.03
Nebraska,NE,39.445955,45.42,3.58,30.03,0.20,9.14
Ohio,OH,133.223464,23.60,59.08,2.12,1.04,11.04
South Dakota,SD,17.436158,8.96,12.13,53.77,0.27,10.49
Wisconsin,WI,62.548705,33.71,40.96,2.78,2.04,12.72
